id,name,base_experience,height,weight,types,abilities,moves,stats
604,eelektross,232,21,805,electric,levitate,"fire-punch, thunder-punch, cut, bind, headbutt","hp=85, attack=115, defense=80, special-attack=105, special-defense=80, speed=50"
605,elgyem,67,5,90,psychic,"telepathy, synchronize, analytic","headbutt, growl, disable, psybeam, thunderbolt","hp=55, attack=55, defense=55, special-attack=85, special-defense=55, speed=30"
606,beheeyem,170,10,345,psychic,"telepathy, synchronize, analytic","headbutt, growl, psybeam, hyper-beam, thunderbolt","hp=75, attack=75, defense=75, special-attack=125, special-defense=95, speed=40"
607,litwick,55,3,31,"ghost, fire","flash-fire, flame-body, infiltrator","acid, ember, flamethrower, solar-beam, fire-spin","hp=50, attack=30, defense=55, special-attack=65, special-defense=55, speed=20"
608,lampent,130,6,130,"ghost, fire","flash-fire, flame-body, infiltrator","ember, flamethrower, solar-beam, fire-spin, toxic","hp=60, attack=40, defense=60, special-attack=95, special-defense=60, speed=55"
609,chandelure,234,10,343,"ghost, fire","flash-fire, flame-body, infiltrator","ember, flamethrower, hyper-beam, solar-beam, fire-spin","hp=60, attack=55, defense=90, special-attack=145, special-defense=90, speed=80"
610,axew,64,6,180,dragon,"rivalry, mold-breaker, unnerve","scratch, guillotine, razor-wind, swords-dance, cut","hp=46, attack=87, defense=60, special-attack=30, special-defense=40, speed=57"
611,fraxure,144,10,360,dragon,"rivalry, mold-breaker, unnerve","scratch, guillotine, swords-dance, cut, take-down","hp=66, attack=117, defense=70, special-attack=40, special-defense=50, speed=67"
612,haxorus,243,18,1055,dragon,"rivalry, mold-breaker, unnerve","scratch, guillotine, swords-dance, cut, body-slam","hp=76, attack=147, defense=90, special-attack=60, special-defense=70, speed=97"
613,cubchoo,61,5,85,ice,"snow-cloak, slush-rush, rattled","mega-punch, ice-punch, cut, mega-kick, body-slam","hp=55, attack=70, defense=40, special-attack=60, special-defense=40, speed=40"
614,beartic,177,26,2600,ice,"snow-cloak, slush-rush, swift-swim","mega-punch, ice-punch, swords-dance, cut, mega-kick","hp=95, attack=130, defense=80, special-attack=70, special-defense=80, speed=50"
615,cryogonal,180,11,1480,ice,levitate,"bind, body-slam, take-down, mist, ice-beam","hp=80, attack=50, defense=50, special-attack=95, special-defense=135, speed=105"
616,shelmet,61,4,77,bug,"hydration, shell-armor, overcoat","body-slam, double-edge, acid, absorb, mega-drain","hp=50, attack=40, defense=85, special-attack=40, special-defense=65, speed=25"
617,accelgor,173,8,253,bug,"hydration, sticky-hold, unburden","body-slam, acid, hyper-beam, absorb, mega-drain","hp=80, attack=70, defense=40, special-attack=100, special-defense=60, speed=145"
618,stunfisk,165,7,110,"ground, electric","static, limber, sand-veil","tackle, water-gun, surf, thunder-shock, thunderbolt","hp=109, attack=66, defense=84, special-attack=81, special-defense=99, speed=32"
619,mienfoo,70,9,200,fighting,"inner-focus, regenerator, reckless","pound, double-slap, mega-punch, swords-dance, mega-kick","hp=45, attack=85, defense=50, special-attack=55, special-defense=50, speed=65"
620,mienshao,179,14,355,fighting,"inner-focus, regenerator, reckless","pound, double-slap, mega-punch, swords-dance, mega-kick","hp=65, attack=125, defense=60, special-attack=95, special-defense=60, speed=105"
621,druddigon,170,16,1390,dragon,"rough-skin, sheer-force, mold-breaker","mega-punch, fire-punch, thunder-punch, scratch, cut","hp=77, attack=120, defense=90, special-attack=60, special-defense=90, speed=48"
622,golett,61,10,920,"ground, ghost","iron-fist, klutz, no-guard","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=59, attack=74, defense=50, special-attack=35, special-defense=50, speed=35"
623,golurk,169,28,3300,"ground, ghost","iron-fist, klutz, no-guard","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=89, attack=124, defense=80, special-attack=55, special-defense=80, speed=55"
624,pawniard,68,5,102,"dark, steel","defiant, inner-focus, pressure","scratch, guillotine, swords-dance, cut, headbutt","hp=45, attack=85, defense=70, special-attack=40, special-defense=40, speed=60"
625,bisharp,172,16,700,"dark, steel","defiant, inner-focus, pressure","scratch, guillotine, swords-dance, cut, take-down","hp=65, attack=125, defense=100, special-attack=60, special-defense=70, speed=70"
626,bouffalant,172,16,946,normal,"reckless, sap-sipper, soundproof","swords-dance, cut, stomp, headbutt, horn-attack","hp=95, attack=110, defense=95, special-attack=40, special-defense=95, speed=55"
627,rufflet,70,5,105,"normal, flying","keen-eye, sheer-force, hustle","cut, wing-attack, whirlwind, fly, fury-attack","hp=70, attack=83, defense=50, special-attack=37, special-defense=50, speed=60"
628,braviary,179,15,410,"normal, flying","keen-eye, sheer-force, defiant","cut, wing-attack, whirlwind, fly, fury-attack","hp=100, attack=123, defense=75, special-attack=57, special-defense=75, speed=80"
629,vullaby,74,5,90,"dark, flying","big-pecks, overcoat, weak-armor","cut, gust, whirlwind, fly, fury-attack","hp=70, attack=55, defense=75, special-attack=45, special-defense=65, speed=60"
630,mandibuzz,179,12,395,"dark, flying","big-pecks, overcoat, weak-armor","cut, gust, whirlwind, fly, fury-attack","hp=110, attack=65, defense=105, special-attack=55, special-defense=95, speed=80"
631,heatmor,169,14,580,fire,"gluttony, flash-fire, white-smoke","fire-punch, thunder-punch, cut, bind, tackle","hp=85, attack=97, defense=66, special-attack=105, special-defense=66, speed=65"
632,durant,169,3,330,"bug, steel","swarm, hustle, truant","vice-grip, guillotine, cut, sand-attack, bite","hp=58, attack=109, defense=112, special-attack=48, special-defense=48, speed=109"
633,deino,60,8,173,"dark, dragon",hustle,"slam, headbutt, tackle, body-slam, take-down","hp=52, attack=65, defense=50, special-attack=45, special-defense=50, speed=38"
634,zweilous,147,14,500,"dark, dragon",hustle,"slam, headbutt, tackle, body-slam, take-down","hp=72, attack=85, defense=70, special-attack=65, special-defense=70, speed=58"
635,hydreigon,270,18,1600,"dark, dragon",levitate,"fly, slam, headbutt, tackle, body-slam","hp=92, attack=105, defense=90, special-attack=125, special-defense=90, speed=98"
636,larvesta,72,11,288,"bug, fire","flame-body, swarm","body-slam, take-down, thrash, double-edge, ember","hp=55, attack=85, defense=55, special-attack=50, special-defense=55, speed=60"
637,volcarona,248,16,460,"bug, fire","flame-body, swarm","gust, whirlwind, fly, body-slam, take-down","hp=85, attack=60, defense=65, special-attack=135, special-defense=105, speed=100"
638,cobalion,261,21,2500,"steel, fighting",justified,"swords-dance, cut, double-kick, body-slam, take-down","hp=91, attack=90, defense=129, special-attack=90, special-defense=72, speed=108"
639,terrakion,261,19,2600,"rock, fighting",justified,"swords-dance, cut, double-kick, body-slam, take-down","hp=91, attack=129, defense=90, special-attack=72, special-defense=90, speed=108"
640,virizion,261,20,2000,"grass, fighting",justified,"swords-dance, cut, double-kick, body-slam, take-down","hp=91, attack=90, defense=72, special-attack=90, special-defense=129, speed=108"
641,tornadus-incarnate,261,15,630,flying,"prankster, defiant","gust, fly, tackle, body-slam, take-down","hp=79, attack=115, defense=70, special-attack=125, special-defense=80, speed=111"
642,thundurus-incarnate,261,15,610,"electric, flying","prankster, defiant","thunder-punch, fly, tackle, body-slam, take-down","hp=79, attack=115, defense=70, special-attack=125, special-defense=80, speed=111"
643,reshiram,306,32,3300,"dragon, fire",turboblaze,"cut, fly, body-slam, take-down, double-edge","hp=100, attack=120, defense=100, special-attack=150, special-defense=120, speed=90"
644,zekrom,306,29,3450,"dragon, electric",teravolt,"thunder-punch, cut, fly, body-slam, take-down","hp=100, attack=150, defense=120, special-attack=120, special-defense=100, speed=90"
645,landorus-incarnate,270,15,680,"ground, flying","sand-force, sheer-force","swords-dance, fly, tackle, body-slam, take-down","hp=89, attack=125, defense=90, special-attack=115, special-defense=80, speed=101"
646,kyurem,297,30,3250,"dragon, ice",pressure,"cut, fly, body-slam, take-down, roar","hp=125, attack=130, defense=90, special-attack=130, special-defense=90, speed=95"
647,keldeo-ordinary,261,14,485,"water, fighting",justified,"swords-dance, cut, double-kick, take-down, double-edge","hp=91, attack=72, defense=90, special-attack=129, special-defense=90, speed=108"
648,meloetta-aria,270,6,65,"normal, psychic",serene-grace,"fire-punch, ice-punch, thunder-punch, swords-dance, sing","hp=100, attack=77, defense=77, special-attack=128, special-defense=128, speed=90"
649,genesect,270,15,825,"bug, steel",download,"fly, flamethrower, ice-beam, blizzard, hyper-beam","hp=71, attack=120, defense=95, special-attack=120, special-defense=95, speed=99"
650,chespin,63,4,90,grass,"overgrow, bulletproof","thunder-punch, swords-dance, cut, vine-whip, tackle","hp=56, attack=61, defense=65, special-attack=48, special-defense=45, speed=38"
651,quilladin,142,7,290,grass,"overgrow, bulletproof","thunder-punch, swords-dance, cut, vine-whip, tackle","hp=61, attack=78, defense=95, special-attack=56, special-defense=58, speed=57"
652,chesnaught,239,16,900,"grass, fighting","overgrow, bulletproof","thunder-punch, swords-dance, cut, vine-whip, tackle","hp=88, attack=107, defense=122, special-attack=74, special-defense=75, speed=64"
653,fennekin,61,4,94,fire,"blaze, magician","scratch, cut, take-down, tail-whip, ember","hp=40, attack=45, defense=40, special-attack=62, special-defense=60, speed=60"
654,braixen,143,10,145,fire,"blaze, magician","fire-punch, thunder-punch, scratch, cut, take-down","hp=59, attack=59, defense=58, special-attack=90, special-defense=70, speed=73"
655,delphox,240,15,390,"fire, psychic","blaze, magician","fire-punch, thunder-punch, scratch, cut, take-down","hp=75, attack=69, defense=72, special-attack=114, special-defense=100, speed=104"
656,froakie,63,3,70,water,"torrent, protean","pound, cut, take-down, growl, water-gun","hp=41, attack=56, defense=40, special-attack=62, special-defense=44, speed=71"
657,frogadier,142,6,109,water,"torrent, protean","pound, ice-punch, swords-dance, cut, take-down","hp=54, attack=63, defense=52, special-attack=83, special-defense=56, speed=97"
658,greninja,239,15,400,"water, dark","torrent, protean","pound, ice-punch, swords-dance, cut, take-down","hp=72, attack=95, defense=67, special-attack=103, special-defense=71, speed=122"
659,bunnelby,47,4,50,normal,"pickup, cheek-pouch, huge-power","double-slap, swords-dance, cut, double-kick, tackle","hp=38, attack=36, defense=38, special-attack=32, special-defense=36, speed=57"
660,diggersby,148,10,424,"normal, ground","pickup, cheek-pouch, huge-power","double-slap, mega-punch, fire-punch, ice-punch, thunder-punch","hp=85, attack=56, defense=77, special-attack=50, special-defense=77, speed=78"
661,fletchling,56,3,17,"normal, flying","big-pecks, gale-wings","razor-wind, swords-dance, fly, tackle, take-down","hp=45, attack=50, defense=43, special-attack=40, special-defense=38, speed=62"
662,fletchinder,134,7,160,"fire, flying","flame-body, gale-wings","razor-wind, swords-dance, fly, tackle, take-down","hp=62, attack=73, defense=55, special-attack=56, special-defense=52, speed=84"
663,talonflame,175,12,245,"fire, flying","flame-body, gale-wings","razor-wind, swords-dance, fly, tackle, take-down","hp=78, attack=81, defense=71, special-attack=74, special-defense=69, speed=126"
664,scatterbug-icy-snow,40,3,25,bug,"shield-dust, compound-eyes, friend-guard","tackle, poison-powder, stun-spore, string-shot, bug-bite","hp=38, attack=35, defense=40, special-attack=27, special-defense=25, speed=35"
665,spewpa-icy-snow,75,3,84,bug,"shed-skin, friend-guard","harden, protect, iron-defense, bug-bite, struggle-bug","hp=45, attack=22, defense=60, special-attack=27, special-defense=30, speed=29"
666,vivillon-meadow,185,12,170,"bug, flying","shield-dust, compound-eyes, friend-guard","gust, supersonic, psybeam, hyper-beam, solar-beam","hp=80, attack=52, defense=50, special-attack=90, special-defense=50, speed=89"
667,litleo,74,6,135,"fire, normal","rivalry, unnerve, moxie","headbutt, tackle, body-slam, take-down, double-edge","hp=62, attack=50, defense=58, special-attack=73, special-defense=54, speed=72"
668,pyroar,177,15,815,"fire, normal","rivalry, unnerve, moxie","headbutt, tackle, body-slam, take-down, double-edge","hp=86, attack=68, defense=72, special-attack=109, special-defense=66, speed=106"
669,flabebe-red,61,1,1,fairy,"flower-veil, symbiosis","vine-whip, tackle, razor-leaf, solar-beam, petal-dance","hp=44, attack=38, defense=39, special-attack=61, special-defense=79, speed=42"
670,floette-red,130,2,9,fairy,"flower-veil, symbiosis","vine-whip, tackle, razor-leaf, solar-beam, petal-dance","hp=54, attack=45, defense=47, special-attack=75, special-defense=98, speed=52"
671,florges-red,248,11,100,fairy,"flower-veil, symbiosis","hyper-beam, solar-beam, petal-dance, toxic, psychic","hp=78, attack=65, defense=68, special-attack=112, special-defense=154, speed=75"
672,skiddo,70,9,310,grass,"sap-sipper, grass-pelt","vine-whip, tackle, body-slam, take-down, double-edge","hp=66, attack=65, defense=48, special-attack=62, special-defense=57, speed=52"
673,gogoat,186,17,910,grass,"sap-sipper, grass-pelt","vine-whip, tackle, body-slam, take-down, double-edge","hp=123, attack=100, defense=62, special-attack=97, special-defense=81, speed=68"
674,pancham,70,6,80,fighting,"iron-fist, mold-breaker, scrappy","karate-chop, comet-punch, mega-punch, fire-punch, ice-punch","hp=67, attack=82, defense=62, special-attack=46, special-defense=48, speed=43"
675,pangoro,173,21,1360,"fighting, dark","iron-fist, mold-breaker, scrappy","karate-chop, comet-punch, mega-punch, fire-punch, ice-punch","hp=95, attack=124, defense=78, special-attack=69, special-defense=71, speed=58"
676,furfrou-natural,165,12,280,normal,fur-coat,"sand-attack, headbutt, tackle, take-down, tail-whip","hp=75, attack=80, defense=60, special-attack=65, special-defense=90, speed=102"
677,espurr,71,3,35,psychic,"keen-eye, infiltrator, own-tempo","pay-day, scratch, cut, leer, psybeam","hp=62, attack=48, defense=54, special-attack=63, special-defense=60, speed=68"
678,meowstic-male,163,6,85,psychic,"keen-eye, infiltrator, prankster","pay-day, scratch, cut, leer, psybeam","hp=74, attack=48, defense=76, special-attack=83, special-defense=81, speed=104"
679,honedge,65,8,20,"steel, ghost",no-guard,"swords-dance, cut, tackle, toxic, screech","hp=45, attack=80, defense=100, special-attack=35, special-defense=37, speed=28"
680,doublade,157,8,45,"steel, ghost",no-guard,"swords-dance, cut, tackle, toxic, screech","hp=59, attack=110, defense=150, special-attack=45, special-defense=49, speed=35"
681,aegislash-shield,234,17,530,"steel, ghost",stance-change,"swords-dance, cut, tackle, hyper-beam, toxic","hp=60, attack=50, defense=140, special-attack=50, special-defense=140, speed=60"
682,spritzee,68,2,5,fairy,"healer, aroma-veil","disable, thunderbolt, toxic, psychic, double-team","hp=78, attack=52, defense=60, special-attack=63, special-defense=65, speed=23"
683,aromatisse,162,8,155,fairy,"healer, aroma-veil","hyper-beam, thunderbolt, thunder, toxic, psychic","hp=101, attack=72, defense=72, special-attack=99, special-defense=89, speed=29"
684,swirlix,68,4,35,fairy,"sweet-veil, unburden","tackle, flamethrower, surf, string-shot, thunderbolt","hp=62, attack=48, defense=66, special-attack=59, special-defense=57, speed=49"
685,slurpuff,168,8,50,fairy,"sweet-veil, unburden","tackle, flamethrower, surf, hyper-beam, string-shot","hp=82, attack=80, defense=86, special-attack=85, special-defense=75, speed=72"
686,inkay,58,4,35,"dark, psychic","contrary, suction-cups, infiltrator","cut, bind, tackle, wrap, disable","hp=53, attack=54, defense=53, special-attack=37, special-defense=46, speed=45"
687,malamar,169,15,470,"dark, psychic","contrary, suction-cups, infiltrator","cut, bind, tackle, wrap, disable","hp=86, attack=92, defense=88, special-attack=68, special-defense=75, speed=73"
688,binacle,61,5,310,"rock, water","tough-claws, sniper, pickpocket","scratch, swords-dance, cut, sand-attack, water-gun","hp=42, attack=52, defense=67, special-attack=39, special-defense=56, speed=50"
689,barbaracle,175,13,960,"rock, water","tough-claws, sniper, pickpocket","scratch, swords-dance, cut, sand-attack, water-gun","hp=72, attack=105, defense=115, special-attack=54, special-defense=86, speed=68"
690,skrelp,64,5,73,"poison, water","poison-point, poison-touch, adaptability","tackle, take-down, tail-whip, acid, water-gun","hp=50, attack=60, defense=60, special-attack=60, special-defense=60, speed=30"
691,dragalge,173,18,815,"poison, dragon","poison-point, poison-touch, adaptability","tackle, take-down, tail-whip, acid, water-gun","hp=65, attack=75, defense=90, special-attack=97, special-defense=123, speed=44"
692,clauncher,66,5,83,water,mega-launcher,"vice-grip, swords-dance, cut, take-down, water-gun","hp=50, attack=53, defense=62, special-attack=58, special-defense=63, speed=44"
693,clawitzer,100,13,353,water,mega-launcher,"vice-grip, swords-dance, cut, body-slam, take-down","hp=71, attack=73, defense=88, special-attack=120, special-defense=89, speed=59"
694,helioptile,58,5,60,"electric, normal","dry-skin, sand-veil, solar-power","pound, razor-wind, cut, tail-whip, surf","hp=44, attack=38, defense=33, special-attack=61, special-defense=43, speed=70"
695,heliolisk,168,10,210,"electric, normal","dry-skin, sand-veil, solar-power","pound, mega-punch, fire-punch, thunder-punch, razor-wind","hp=62, attack=55, defense=52, special-attack=109, special-defense=94, speed=109"
696,tyrunt,72,8,260,"rock, dragon","strong-jaw, sturdy","stomp, horn-drill, tackle, body-slam, thrash","hp=58, attack=89, defense=77, special-attack=45, special-defense=45, speed=48"
697,tyrantrum,182,25,2700,"rock, dragon","strong-jaw, rock-head","stomp, horn-drill, tackle, body-slam, thrash","hp=82, attack=121, defense=119, special-attack=69, special-defense=59, speed=71"
698,amaura,72,13,252,"rock, ice","refrigerate, snow-warning","body-slam, take-down, growl, roar, mist","hp=77, attack=59, defense=50, special-attack=67, special-defense=63, speed=46"
699,aurorus,104,27,2250,"rock, ice","refrigerate, snow-warning","body-slam, take-down, growl, roar, mist","hp=123, attack=77, defense=72, special-attack=99, special-defense=92, speed=58"
700,sylveon,184,10,235,fairy,"cute-charm, pixilate","pay-day, cut, sand-attack, tackle, body-slam","hp=95, attack=65, defense=65, special-attack=110, special-defense=130, speed=60"
701,hawlucha,175,8,215,"fighting, flying","limber, unburden, mold-breaker","karate-chop, mega-punch, fire-punch, thunder-punch, swords-dance","hp=78, attack=92, defense=75, special-attack=74, special-defense=63, speed=118"
702,dedenne,151,2,22,"electric, fairy","cheek-pouch, pickup, plus","thunder-punch, cut, tackle, take-down, tail-whip","hp=67, attack=58, defense=57, special-attack=81, special-defense=67, speed=101"
703,carbink,100,3,57,"rock, fairy","clear-body, sturdy","tackle, body-slam, take-down, double-edge, hyper-beam","hp=50, attack=50, defense=150, special-attack=50, special-defense=150, speed=50"
704,goomy,60,3,28,dragon,"sap-sipper, hydration, gooey","tackle, body-slam, take-down, water-gun, hydro-pump","hp=45, attack=50, defense=35, special-attack=55, special-defense=75, speed=40"
705,sliggoo,158,8,175,dragon,"sap-sipper, hydration, gooey","tackle, body-slam, take-down, water-gun, ice-beam","hp=68, attack=75, defense=53, special-attack=83, special-defense=113, speed=60"
706,goodra,270,20,1505,dragon,"sap-sipper, hydration, gooey","mega-punch, fire-punch, thunder-punch, mega-kick, tackle","hp=90, attack=100, defense=70, special-attack=110, special-defense=150, speed=80"
707,klefki,165,2,30,"steel, fairy","prankster, magician","cut, tackle, hyper-beam, thunder-wave, toxic","hp=57, attack=80, defense=91, special-attack=80, special-defense=87, speed=75"
708,phantump,62,4,70,"ghost, grass","natural-cure, frisk, harvest","cut, tackle, disable, strength, leech-seed","hp=43, attack=70, defense=48, special-attack=50, special-defense=60, speed=38"
709,trevenant,166,15,710,"ghost, grass","natural-cure, frisk, harvest","cut, tackle, take-down, disable, hyper-beam","hp=85, attack=110, defense=76, special-attack=65, special-defense=82, speed=56"
710,pumpkaboo-average,67,4,50,"ghost, grass","pickup, frisk, insomnia","disable, flamethrower, leech-seed, razor-leaf, solar-beam","hp=49, attack=66, defense=70, special-attack=44, special-defense=55, speed=51"
711,gourgeist-average,173,9,125,"ghost, grass","pickup, frisk, insomnia","flamethrower, hyper-beam, leech-seed, razor-leaf, solar-beam","hp=65, attack=90, defense=122, special-attack=58, special-defense=75, speed=84"
712,bergmite,61,10,995,ice,"own-tempo, ice-body, sturdy","tackle, body-slam, take-down, double-edge, bite","hp=55, attack=69, defense=85, special-attack=32, special-defense=35, speed=28"
713,avalugg,180,20,5050,ice,"own-tempo, ice-body, sturdy","tackle, body-slam, take-down, double-edge, bite","hp=95, attack=117, defense=184, special-attack=44, special-defense=46, speed=28"
714,noibat,49,5,80,"flying, dragon","frisk, infiltrator, telepathy","razor-wind, cut, gust, wing-attack, whirlwind","hp=40, attack=30, defense=35, special-attack=45, special-defense=40, speed=55"
715,noivern,187,15,850,"flying, dragon","frisk, infiltrator, telepathy","razor-wind, cut, gust, wing-attack, whirlwind","hp=85, attack=70, defense=80, special-attack=97, special-defense=80, speed=123"
716,xerneas-active,306,30,2150,fairy,fairy-aura,"cut, tackle, body-slam, take-down, roar","hp=126, attack=131, defense=95, special-attack=131, special-defense=98, speed=99"
717,yveltal,306,58,2030,"dark, flying",dark-aura,"razor-wind, cut, gust, fly, body-slam","hp=126, attack=131, defense=95, special-attack=131, special-defense=98, speed=99"
718,zygarde-50,270,50,3050,"dragon, ground",aura-break,"bind, body-slam, bite, hyper-beam, strength","hp=108, attack=100, defense=121, special-attack=81, special-defense=95, speed=95"
719,diancie,270,7,88,"rock, fairy",clear-body,"tackle, body-slam, take-down, hyper-beam, rock-throw","hp=50, attack=100, defense=150, special-attack=100, special-defense=150, speed=50"
720,hoopa,270,5,90,"psychic, ghost",magician,"fire-punch, ice-punch, thunder-punch, take-down, psybeam","hp=80, attack=110, defense=60, special-attack=150, special-defense=130, speed=70"
721,volcanion,270,17,1950,"fire, water",water-absorb,"cut, stomp, body-slam, take-down, double-edge","hp=80, attack=110, defense=120, special-attack=130, special-defense=90, speed=70"
722,rowlet,64,3,15,"grass, flying","overgrow, long-reach","swords-dance, gust, fury-attack, tackle, take-down","hp=68, attack=55, defense=55, special-attack=50, special-defense=50, speed=42"
723,dartrix,147,7,160,"grass, flying","overgrow, long-reach","swords-dance, gust, fury-attack, tackle, take-down","hp=78, attack=75, defense=75, special-attack=70, special-defense=70, speed=52"
724,decidueye,239,16,366,"grass, ghost","overgrow, long-reach","swords-dance, fury-attack, tackle, take-down, growl","hp=78, attack=107, defense=75, special-attack=100, special-defense=100, speed=70"
725,litten,64,4,43,fire,"blaze, intimidate","pay-day, scratch, swords-dance, double-kick, body-slam","hp=45, attack=65, defense=40, special-attack=60, special-defense=40, speed=70"
726,torracat,147,7,250,fire,"blaze, intimidate","pay-day, scratch, swords-dance, double-kick, body-slam","hp=65, attack=85, defense=50, special-attack=80, special-defense=50, speed=90"
727,incineroar,239,18,830,"fire, dark","blaze, intimidate","mega-punch, pay-day, fire-punch, thunder-punch, scratch","hp=95, attack=115, defense=90, special-attack=80, special-defense=90, speed=60"
728,popplio,64,4,75,water,"torrent, liquid-voice","pound, double-slap, growl, sing, water-gun","hp=50, attack=54, defense=54, special-attack=66, special-defense=56, speed=40"
729,brionne,147,6,175,water,"torrent, liquid-voice","pound, double-slap, body-slam, growl, sing","hp=60, attack=69, defense=69, special-attack=91, special-defense=81, speed=50"
730,primarina,239,18,440,"water, fairy","torrent, liquid-voice","pound, double-slap, body-slam, growl, sing","hp=80, attack=74, defense=74, special-attack=126, special-defense=116, speed=60"
731,pikipek,53,3,12,"normal, flying","keen-eye, skill-link, pickup","swords-dance, fly, fury-attack, take-down, growl","hp=35, attack=75, defense=30, special-attack=30, special-defense=30, speed=65"
732,trumbeak,124,6,148,"normal, flying","keen-eye, skill-link, pickup","swords-dance, fly, fury-attack, take-down, growl","hp=55, attack=85, defense=50, special-attack=40, special-defense=50, speed=75"
733,toucannon,218,11,260,"normal, flying","keen-eye, skill-link, sheer-force","swords-dance, fly, fury-attack, take-down, growl","hp=80, attack=120, defense=75, special-attack=75, special-defense=75, speed=60"
734,yungoos,51,4,60,normal,"stakeout, strong-jaw, adaptability","sand-attack, tackle, take-down, thrash, double-edge","hp=48, attack=70, defense=30, special-attack=30, special-defense=30, speed=45"
735,gumshoos,146,7,142,normal,"stakeout, strong-jaw, adaptability","fire-punch, ice-punch, thunder-punch, sand-attack, tackle","hp=88, attack=110, defense=60, special-attack=55, special-defense=60, speed=45"
736,grubbin,60,4,44,bug,swarm,"vice-grip, take-down, bite, string-shot, thunderbolt","hp=47, attack=62, defense=45, special-attack=55, special-defense=45, speed=46"
737,charjabug,140,5,105,"bug, electric",battery,"vice-grip, take-down, bite, string-shot, thunderbolt","hp=57, attack=82, defense=95, special-attack=55, special-defense=75, speed=36"
738,vikavolt,225,15,450,"bug, electric",levitate,"vice-grip, guillotine, fly, take-down, bite","hp=77, attack=70, defense=90, special-attack=145, special-defense=75, speed=43"
739,crabrawler,68,6,70,fighting,"hyper-cutter, iron-fist, anger-point","ice-punch, thunder-punch, slam, body-slam, take-down","hp=47, attack=82, defense=57, special-attack=42, special-defense=47, speed=63"
740,crabominable,167,17,1800,"fighting, ice","hyper-cutter, iron-fist, anger-point","ice-punch, thunder-punch, slam, body-slam, take-down","hp=97, attack=132, defense=77, special-attack=62, special-defense=67, speed=43"
741,oricorio-baile,167,6,34,"fire, flying",dancer,"pound, double-slap, swords-dance, fly, take-down","hp=75, attack=70, defense=70, special-attack=98, special-defense=70, speed=93"
742,cutiefly,61,1,2,"bug, fairy","honey-gather, shield-dust, sweet-veil","absorb, stun-spore, toxic, psychic, double-team","hp=40, attack=45, defense=40, special-attack=55, special-defense=40, speed=84"
743,ribombee,162,2,5,"bug, fairy","honey-gather, shield-dust, sweet-veil","take-down, hyper-beam, absorb, solar-beam, stun-spore","hp=60, attack=55, defense=60, special-attack=95, special-defense=70, speed=124"
744,rockruff,56,5,92,rock,"keen-eye, vital-spirit, steadfast","swords-dance, sand-attack, tackle, body-slam, take-down","hp=45, attack=65, defense=40, special-attack=30, special-defense=40, speed=60"
745,lycanroc-midday,170,8,250,rock,"keen-eye, sand-rush, steadfast","swords-dance, sand-attack, tackle, body-slam, take-down","hp=75, attack=115, defense=65, special-attack=55, special-defense=65, speed=112"
746,wishiwashi-solo,61,2,3,water,schooling,"take-down, double-edge, growl, mist, water-gun","hp=45, attack=20, defense=20, special-attack=25, special-defense=25, speed=40"
747,mareanie,61,4,80,"poison, water","merciless, limber, regenerator","poison-sting, pin-missile, bite, hydro-pump, surf","hp=50, attack=53, defense=62, special-attack=43, special-defense=52, speed=45"
748,toxapex,173,7,145,"poison, water","merciless, limber, regenerator","body-slam, poison-sting, pin-missile, bite, hydro-pump","hp=50, attack=63, defense=152, special-attack=53, special-defense=142, speed=35"
749,mudbray,77,10,1100,ground,"own-tempo, stamina, inner-focus","stomp, double-kick, mega-kick, body-slam, take-down","hp=70, attack=100, defense=70, special-attack=45, special-defense=55, speed=45"
750,mudsdale,175,25,9200,ground,"own-tempo, stamina, inner-focus","stomp, double-kick, mega-kick, body-slam, take-down","hp=100, attack=125, defense=100, special-attack=55, special-defense=85, speed=35"
751,dewpider,54,3,40,"water, bug","water-bubble, water-absorb","headbutt, bite, water-gun, hydro-pump, surf","hp=38, attack=40, defense=52, special-attack=40, special-defense=72, speed=27"
752,araquanid,159,18,820,"water, bug","water-bubble, water-absorb","headbutt, body-slam, bite, water-gun, hydro-pump","hp=68, attack=70, defense=92, special-attack=50, special-defense=132, speed=42"
753,fomantis,50,3,15,grass,"leaf-guard, contrary","swords-dance, take-down, growth, razor-leaf, solar-beam","hp=40, attack=55, defense=35, special-attack=50, special-defense=35, speed=35"
754,lurantis,168,9,185,grass,"leaf-guard, contrary","swords-dance, take-down, hyper-beam, growth, razor-leaf","hp=70, attack=105, defense=90, special-attack=80, special-defense=90, speed=45"
755,morelull,57,2,15,"grass, fairy","illuminate, effect-spore, rain-dish","absorb, mega-drain, leech-seed, growth, solar-beam","hp=40, attack=35, defense=55, special-attack=65, special-defense=75, speed=15"
756,shiinotic,142,10,115,"grass, fairy","illuminate, effect-spore, rain-dish","hyper-beam, absorb, mega-drain, solar-beam, sleep-powder","hp=60, attack=45, defense=80, special-attack=90, special-defense=100, speed=30"
757,salandit,64,6,48,"poison, fire","corrosion, oblivious","double-slap, scratch, sand-attack, take-down, ember","hp=48, attack=44, defense=40, special-attack=71, special-defense=40, speed=77"
